
texture DCOR0070 range DCOR0073 tics 8 allowdecals
texture DCOR0761 range DCOR0764 tics 8
texture DCOR0776 range DCOR0778 tics 8 allowdecals

switch DCOR0331 on pic DCOR0371 tics 0
switch DCOR0332 on pic DCOR0372 tics 0
switch DCOR0333 on pic DCOR0707 tics 0
switch DCOR0334 on pic DCOR0374 tics 0
switch DCOR0335 on pic DCOR0375 tics 0
switch DCOR0336 on pic DCOR0376 tics 0
switch DCOR0337 on pic DCOR0377 tics 0
switch DCOR0338 on pic DCOR0378 tics 0
switch DCOR0339 on pic DCOR0379 tics 0
switch DCOR0340 on pic DCOR0380 tics 0
switch DCOR0341 on pic DCOR0708 tics 0
switch DCOR0342 on pic DCOR0382 tics 0
switch DCOR0343 on pic DCOR0383 tics 0
switch DCOR0344 on pic DCOR0384 tics 0
switch DCOR0345 on pic DCOR0385 tics 0
switch DCOR0346 on pic DCOR0386 tics 0
switch DCOR0347 on pic DCOR0387 tics 0
switch DCOR0348 on pic DCOR0388 tics 0
switch DCOR0349 on pic DCOR0389 tics 0
switch DCOR0350 on pic DCOR0390 tics 0
switch DCOR0351 on pic DCOR0391 tics 0
switch DCOR0352 on pic DCOR0392 tics 0
switch DCOR0353 on pic DCOR0393 tics 0
switch DCOR0354 on pic DCOR0394 tics 0
switch DCOR0355 on pic DCOR0395 tics 0
switch DCOR0356 on pic DCOR0396 tics 0
switch DCOR0357 on pic DCOR0397 tics 0
switch DCOR0358 on pic DCOR0398 tics 0
switch DCOR0359 on pic DCOR0399 tics 0
switch DCOR0360 on pic DCOR0400 tics 0
switch DCOR0361 on pic DCOR0401 tics 0
switch DCOR0362 on pic DCOR0711 tics 0
switch DCOR0363 on pic DCOR0403 tics 0
switch DCOR0364 on pic DCOR0404 tics 0
switch DCOR0365 on pic DCOR0405 tics 0
switch DCOR0366 on pic DCOR0406 tics 0
switch DCOR0367 on pic DCOR0407 tics 0
switch DCOR0368 on pic DCOR0408 tics 0
switch DCOR0369 on pic DCOR0409 tics 0
switch DCOR0370 on pic DCOR0410 tics 0
switch DCOR0700 on pic DCOR0707 tics 0
switch DCOR0701 on pic DCOR0708 tics 0
switch DCOR0704 on pic DCOR0711 tics 0
